subject_id,year_in_study,record_date,activity_level,walk_frequency,walk_duration,walk_pace,walk_reason_bathroom,walk_reason_general_enjoyment,walk_reason_training,walk_reason_other_specify,walk_without_leash,aerobic_duration,aerobic_pace,aerobic_frequency,fetch_games_frequency
grls1JY77077,0,2014-08,Very active,More than once a day,30-60 minutes,Brisk,0,1,0,,1,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),More than once a day,Frequently
grls1JY77077,1,2015-11,Very active,More than once a day,30-60 minutes,Brisk,0,1,1,,1,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),More than once a day,Frequently
grls1JY77077,2,2017-01,Very active,Once/day,10-30 minutes,Run,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
grls1K7T6888,0,2013-04,Moderate,Once or twice/week,30-60 minutes,Average,0,1,0,,0,,,,Occasionally
grls1K7T6888,1,2014-03,Moderate,Once or twice/week,30-60 minutes,Average,0,1,0,,0,,,,Occasionally
grls1K7T6888,2,2015-05,Moderate,Once or twice/week,30-60 minutes,Average,0,1,0,,1,10-30 minutes,Bursts of exercise less than 30% of the time,Once/day,Occasionally
grls1KV74RFF,0,2014-04,Moderate,Once or twice/week,10-30 minutes,Average,0,1,0,,0,,,,Occasionally
grls1KV74RFF,1,2015-04,Moderate,Once or twice/week,10-30 minutes,Average,0,1,0,,0,,,,Occasionally
grls1KV74RFF,2,2016-05,Moderate,Once or twice/week,30-60 minutes,Jog,0,1,0,,0,,,,Never
grls1L6U61SS,0,2014-10,Very active,Once/day,10-30 minutes,Average,0,1,0,,0,,,,Occasionally
grls1L6U61SS,1,2015-10,Moderate,Once/day,30-60 minutes,Brisk,0,1,0,,0,,,,Occasionally
grls1L6U61SS,2,2016-10,Moderate,More than once a day,30-60 minutes,Average,0,1,0,,0,,,,Occasionally
grls1LNR2C22,0,2013-01,Moderate,Once/day,30-60 minutes,Brisk,0,1,0,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Occasionally
grls1LNR2C22,1,2014-03,Moderate,Never,,,0,0,0,,1,Greater than 60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Occasionally
grls1LNR2C22,2,2015-03,Moderate,More than once a day,Greater than 60 minutes,Brisk,0,1,0,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Occasionally
grls1LSGW1BB,0,2013-03,Moderate,Less than once/week,30-60 minutes,Average,0,0,1,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Occasionally
grls1LSGW1BB,1,2014-10,Moderate,Less than once/month,10-30 minutes,Brisk,0,1,0,,1,Less than 10 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
grls1LSGW1BB,2,2015-11,Moderate,Less than once/month,Less than 10 minutes,Average,0,0,1,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,Frequently
grls1M17W388,0,2014-11,Very active,Once/day,30-60 minutes,Average,0,0,1,,1,10-30 minutes,Engages in strenuous exercise most of the time (greater than 60%),More than once a day,Frequently
grls1M17W388,1,2015-11,Very active,Once/day,30-60 minutes,Average,0,1,0,,1,10-30 minutes,Engages in strenuous exercise most of the time (greater than 60%),More than once a day,Frequently
grls1M17W388,2,2016-11,Moderate,Once/day,10-30 minutes,Average,0,1,0,,0,,,,Frequently
grls1M18GUHH,0,2014-06,Very active,Once/day,30-60 minutes,Average,0,1,0,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,Occasionally
grls1M18GUHH,1,2015-09,Very active,Once/day,30-60 minutes,Brisk,0,1,0,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,Occasionally
grls1M18GUHH,2,2016-09,Very active,Once/day,30-60 minutes,Brisk,0,1,0,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Occasionally
grls1M4SL0EE,0,2014-02,Very active,Once or twice/week,10-30 minutes,Average,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Frequently
grls1M4SL0EE,1,2015-03,Very active,Once or twice/week,30-60 minutes,Average,0,1,1,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,Occasionally
grls1M4SL0EE,2,2016-04,Moderate,Less than once/week,10-30 minutes,Average,0,1,0,,1,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),Less than once/month,Occasionally
grls1M7ESVV,0,2013-09,Moderate,More than once a day,10-30 minutes,Average,0,1,1,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
grls1MMHW2TT,0,2013-02,Moderate,More than once a day,10-30 minutes,Average,0,0,1,,0,,,,Occasionally
grls1MMHW2TT,1,2013-12,Moderate,Once/day,10-30 minutes,Average,0,0,1,,1,10-30 minutes,Bursts of exercise less than 30% of the time,Once or twice/week,Occasionally
grls1MMHW2TT,2,2015-03,Moderate,Once or twice/week,30-60 minutes,Average,0,1,0,,0,,,,Occasionally
grls1N26R7HH,0,2013-03,Very active,Once/day,30-60 minutes,Average,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Occasionally
grls1N26R7HH,1,2014-03,Very active,Once/day,30-60 minutes,Brisk,0,1,0,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,Frequently
grls1N26R7HH,2,2015-05,Very active,Once or twice/week,30-60 minutes,Brisk,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,Occasionally
grls1N450WSS,0,2014-12,Very active,More than once a day,Greater than 60 minutes,Brisk,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Frequently
grls1N450WSS,1,2015-11,Moderate,More than once a day,30-60 minutes,Brisk,0,1,0,,0,,,,Occasionally
grls1N450WSS,2,2016-12,Moderate,More than once a day,30-60 minutes,Average,0,1,0,,0,,,,Occasionally
grls1N8O3I33,0,2015-01,Very active,Once or twice/week,10-30 minutes,Average,0,1,1,,0,,,,Frequently
grls1N8O3I33,1,2016-01,Very active,Once/day,30-60 minutes,Average,0,1,1,,0,,,,Frequently
grls1N8O3I33,2,2017-01,Very active,Once or twice/week,10-30 minutes,Average,0,1,0,,0,,,,Never
grls1NBZCRQQ,0,2013-07,Moderate,Once or twice/week,30-60 minutes,Average,0,1,0,,0,,,,Occasionally
grls1NBZCRQQ,1,2014-08,Very active,Once/day,30-60 minutes,Average,0,1,0,,0,,,,Frequently
grls1NBZCRQQ,2,2015-08,Moderate,Once/day,30-60 minutes,Average,0,1,0,,0,,,,Frequently
grls1NG4CBXX,0,2013-04,Very active,Once or twice/week,Greater than 60 minutes,Average,0,1,0,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Occasionally
grls1NG4CBXX,1,2014-10,Very active,Once/day,30-60 minutes,Average,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
grls1NG4CBXX,2,2015-10,Very active,Once/day,30-60 minutes,Brisk,0,1,0,,1,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,Frequently
grls1OSZNF11,0,2015-01,Very active,Less than once/week,10-30 minutes,Average,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
grls1OSZNF11,1,2016-01,Moderate,Never,,,0,0,0,,1,10-30 minutes,Bursts of exercise less than 30% of the time,Once/day,Frequently
grls1OSZNF11,2,2017-01,Moderate,Once or twice/week,30-60 minutes,Average,0,1,1,,1,Less than 10 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,Frequently
grls1P46DHYY,0,2014-10,Very active,Once/day,10-30 minutes,Brisk,0,1,1,,0,,,,Frequently
grls1P46DHYY,1,2015-08,Very active,Once/day,10-30 minutes,Brisk,1,1,1,,0,,,,Frequently
grls1P6DGIWW,0,2014-07,Very active,More than once a day,10-30 minutes,Average,0,1,1,,0,,,,Frequently
grls1P6DGIWW,1,2015-08,Very active,More than once a day,30-60 minutes,Average,0,1,0,,0,,,,Frequently
grls1P6DGIWW,2,2016-09,Very active,More than once a day,10-30 minutes,Average,0,1,0,,0,,,,Frequently
grls1P8BR1KK,0,2013-01,Moderate,Once or twice/week,10-30 minutes,Brisk,0,1,0,,1,Greater than 60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Occasionally
grls1P8BR1KK,1,2014-03,Moderate,Once or twice/week,10-30 minutes,Brisk,0,1,0,,1,Greater than 60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
grls1P8BR1KK,2,2015-03,Moderate,Once/day,10-30 minutes,Brisk,0,0,1,,0,,,,Frequently
grls1QLT9MBB,0,2014-01,Very active,Less than once/week,10-30 minutes,Average,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Frequently
grls1QLT9MBB,1,2015-03,Moderate,Less than once/month,10-30 minutes,Average,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,Frequently
grls1QLT9MBB,2,2016-06,Moderate,Less than once/month,10-30 minutes,Average,0,1,0,,0,,,,Frequently
grls1R45QTUU,0,2012-10,Very active,Once/day,30-60 minutes,Brisk,0,0,1,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Occasionally
grls1R45QTUU,1,2013-09,Moderate,Once or twice/week,30-60 minutes,Average,0,0,1,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,Occasionally
grls1R45QTUU,2,2014-10,Moderate,Never,,,0,0,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Occasionally
grls1R5W1DNN,0,2014-03,Moderate,Once/day,10-30 minutes,Average,1,1,1,,0,,,,Frequently
grls1R5W1DNN,1,2015-04,Moderate,Once or twice/week,10-30 minutes,Average,0,1,0,,0,,,,Occasionally
grls1R5W1DNN,2,2016-03,Moderate,More than once a day,10-30 minutes,Average,1,1,0,,0,,,,Occasionally
grls1RGNUZHH,0,2013-03,Moderate,Once or twice/week,Less than 10 minutes,Average,0,1,0,,1,Less than 10 minutes,Bursts of exercise less than 30% of the time,More than once a day,Frequently
grls1SP9QVV,0,2013-01,Very active,Once or twice/week,10-30 minutes,Brisk,0,1,0,,1,10-30 minutes,Bursts of exercise less than 30% of the time,Once or twice/week,Occasionally
grls1SP9QVV,1,2015-08,Moderate,Less than once/week,Less than 10 minutes,Brisk,0,1,0,,0,,,,Occasionally
grls1SP9QVV,2,2016-07,Moderate,Less than once/week,10-30 minutes,Brisk,0,1,0,,1,Less than 10 minutes,Bursts of exercise less than 30% of the time,Once or twice/week,Never
grls1T0UJ7BB,0,2013-12,Moderate,Once/day,Greater than 60 minutes,Average,0,1,0,,1,,,Once/day,Frequently
grls1T0UJ7BB,1,2015-06,Moderate,Once/day,Greater than 60 minutes,Average,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Frequently
grls1TCYF611,0,2014-11,Moderate,Once or twice/week,10-30 minutes,Average,0,1,0,,1,10-30 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,Occasionally
grls1TCYF611,1,2016-01,Moderate,Once or twice/week,10-30 minutes,Brisk,0,1,0,,1,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,Occasionally
grls1TCYF611,2,2017-01,Moderate,Less than once/week,30-60 minutes,Average,0,1,0,,1,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,Occasionally
grls1THP76HH,0,2014-05,Very active,More than once a day,30-60 minutes,Brisk,0,0,1,,0,,,,Frequently
grls1THP76HH,1,2015-06,Very active,Once or twice/week,10-30 minutes,Brisk,0,0,1,,0,,,,Frequently
grls1THP76HH,2,2016-06,Moderate,Once or twice/week,10-30 minutes,Brisk,0,1,0,,0,,,,Frequently
grls1U964W33,0,2014-06,Moderate,More than once a day,10-30 minutes,Average,1,1,1,,0,,,,Occasionally
grls1U964W33,1,2015-07,Moderate,More than once a day,10-30 minutes,Average,1,0,0,,0,,,,Frequently
grls1U964W33,2,2016-07,Moderate,Once/day,10-30 minutes,Brisk,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Frequently
grls1UDS7MJJ,0,2014-12,Very active,More than once a day,30-60 minutes,Brisk,0,0,1,,0,,,,Frequently
grls1US5SPBB,0,2012-10,Moderate,More than once a day,10-30 minutes,Average,0,1,0,,0,,,,Frequently
grls1US5SPBB,1,2013-10,Moderate,More than once a day,10-30 minutes,Average,0,1,0,,0,,,,Frequently
grls1US5SPBB,2,2014-10,Moderate,More than once a day,30-60 minutes,Brisk,0,1,0,,0,,,,Frequently
grls1VG5ZO00,0,2014-12,Moderate,Once/day,10-30 minutes,Average,0,1,0,,0,,,,Frequently
grls1VG5ZO00,1,2015-12,Moderate,Once/day,10-30 minutes,Average,0,1,0,,0,,,,Frequently
grls1VG5ZO00,2,2016-12,Moderate,Once or twice/week,10-30 minutes,Average,0,1,0,,0,,,,Frequently
grls1VS4BJHH,0,2014-02,Moderate,Once or twice/week,10-30 minutes,Average,0,1,0,,0,,,,Occasionally
grls1VSY5OVV,0,2014-06,Very active,Once or twice/week,30-60 minutes,Average,0,1,0,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
grls1VSY5OVV,1,2015-07,Very active,Less than once/month,10-30 minutes,Average,0,0,1,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
grls1VSY5OVV,2,2016-07,Very active,Less than once/month,10-30 minutes,Average,0,1,0,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Occasionally
grls1W2Z1HOO,0,2013-04,Moderate,Less than once/week,10-30 minutes,Average,0,0,1,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Occasionally
grls1W2Z1HOO,1,2014-07,Moderate,Less than once/month,10-30 minutes,Average,0,1,0,,0,,,,Occasionally
grls1W2Z1HOO,2,2015-07,Moderate,Less than once/month,10-30 minutes,Average,0,1,0,,0,,,,Occasionally
grls1W4Z888,0,2012-10,Very active,Never,,,0,0,0,,0,,,,Occasionally
grls1W4Z888,1,2014-02,Very active,More than once a day,10-30 minutes,Average,1,1,1,,0,,,,Occasionally
grls1W4Z888,2,2015-03,Very active,More than once a day,10-30 minutes,Average,1,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,Occasionally
grls1WT8URMM,0,2014-04,Very active,More than once a day,30-60 minutes,Average,1,1,1,,0,,,,Frequently
grls1WT8URMM,1,2015-04,Very active,More than once a day,30-60 minutes,Average,1,1,1,,0,,,,Frequently
grls1WT8URMM,2,2016-04,Moderate,More than once a day,10-30 minutes,Average,1,1,0,,0,,,,Frequently
grls1X8STWLL,0,2014-02,Moderate,Once or twice/week,10-30 minutes,Brisk,0,1,0,,0,,,,Frequently
grls1X8STWLL,1,2015-04,Moderate,Once or twice/week,10-30 minutes,Average,0,1,0,,0,,,,Occasionally
grls1X8STWLL,2,2016-03,Moderate,Once or twice/week,10-30 minutes,Average,0,1,0,,0,,,,Occasionally
grls1XIBPR44,0,2013-03,Moderate,More than once a day,Less than 10 minutes,Average,1,0,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Less than once/month,Occasionally
grls1XIBPR44,1,2014-11,Very active,Less than once/month,10-30 minutes,Average,0,0,1,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Occasionally
grls1XT2PQ77,0,2013-03,Very active,Once or twice/week,30-60 minutes,Brisk,0,1,0,,0,,,,Frequently
grls1XT2PQ77,1,2014-08,Very active,Once or twice/week,30-60 minutes,Brisk,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,Occasionally
grls1XT2PQ77,2,2015-07,Very active,Once or twice/week,30-60 minutes,Brisk,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Occasionally
grls1XTARN88,0,2012-11,Moderate,Once/day,30-60 minutes,Brisk,0,1,1,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,Frequently
grls1XTARN88,1,2013-09,Moderate,Less than once/week,30-60 minutes,Brisk,1,1,1,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
grls1XTARN88,2,2014-10,Moderate,Less than once/month,Greater than 60 minutes,Brisk,1,1,1,,1,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),More than once a day,Frequently
grls1XTYP999,0,2013-06,Moderate,Once or twice/week,Less than 10 minutes,Average,1,0,0,,0,,,,Occasionally
grls1XTYP999,2,2015-07,Moderate,Once or twice/week,10-30 minutes,Average,0,0,1,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Frequently
grls1XUEQXNN,0,2014-04,Very active,More than once a day,10-30 minutes,Average,1,1,1,,0,,,,Occasionally
grls1XUEQXNN,1,2015-06,Very active,More than once a day,30-60 minutes,Average,1,1,1,,0,,,,Frequently
grls1XUEQXNN,2,2016-06,Moderate,More than once a day,30-60 minutes,Average,1,1,0,,0,,,,Frequently
grls1XY17PSS,0,2014-01,Moderate,Once/day,10-30 minutes,Brisk,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Occasionally
grls1XY17PSS,1,2015-08,Moderate,Once/day,Less than 10 minutes,Brisk,0,1,0,,1,10-30 minutes,Bursts of exercise less than 30% of the time,Once/day,Occasionally
grls1XY17PSS,2,2016-08,Moderate,Once or twice/week,Greater than 60 minutes,Brisk,0,1,0,,0,,,,Occasionally
grls1Y1K30GG,0,2015-01,Very active,More than once a day,Less than 10 minutes,Average,1,0,0,,1,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once or twice/week,Frequently
grls1Y1K30GG,1,2015-12,Very active,Less than once/week,Less than 10 minutes,Average,0,0,1,,1,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once or twice/week,Frequently
grls1Y1K30GG,2,2016-10,Very active,Less than once/month,Less than 10 minutes,Average,0,0,1,,1,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once or twice/week,Frequently
grls1Y9WQK22,0,2013-03,Very active,Once/day,30-60 minutes,Brisk,0,0,1,,0,,,,Frequently
grls1Y9WQK22,1,2014-05,Very active,Once/day,30-60 minutes,Brisk,0,1,0,,0,,,,Frequently
grls1Y9WQK22,2,2015-06,Moderate,Once or twice/week,30-60 minutes,Brisk,0,1,1,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Occasionally
grls1YGU1BJJ,0,2012-11,Moderate,Once or twice/week,30-60 minutes,Brisk,0,1,0,,1,Less than 10 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Frequently
grls1YGU1BJJ,1,2013-11,Moderate,Once or twice/week,30-60 minutes,Brisk,0,1,0,,1,10-30 minutes,Bursts of exercise less than 30% of the time,Once or twice/week,Frequently
grls1YGU1BJJ,2,2014-09,Little,Once or twice/week,30-60 minutes,Average,0,1,0,,1,Less than 10 minutes,Bursts of exercise less than 30% of the time,Once or twice/week,Frequently
grls1YLKGH66,0,2013-04,Very active,Once/day,10-30 minutes,Brisk,1,0,0,,1,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,Frequently
grls1YLKGH66,1,2014-06,Very active,Once/day,10-30 minutes,Average,1,0,0,,1,Greater than 60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Frequently
grls1YLKGH66,2,2015-05,Very active,Once/day,10-30 minutes,Average,1,0,0,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
grls1YYK24LL,0,2013-06,Moderate,Once or twice/week,30-60 minutes,Average,0,1,0,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,Occasionally
grls1YYK24LL,1,2014-07,Moderate,Less than once/month,30-60 minutes,Brisk,0,1,0,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Occasionally
grls1YYK24LL,2,2015-06,Moderate,Less than once/month,30-60 minutes,Brisk,0,1,0,,1,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once or twice/week,Occasionally
grls20EDCSKK,0,2012-10,Very active,More than once a day,30-60 minutes,Brisk,0,1,1,,1,10-30 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,Frequently
grls20EDCSKK,1,2013-12,Very active,More than once a day,30-60 minutes,Brisk,0,1,0,,1,10-30 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,Frequently
grls20EDCSKK,2,2014-12,Very active,More than once a day,30-60 minutes,Brisk,0,1,1,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Frequently
grls20LGRE11,0,2014-12,Very active,Once/day,10-30 minutes,Average,0,1,0,,0,,,,Frequently
grls20LGRE11,1,2016-01,Very active,Once or twice/week,10-30 minutes,Average,0,1,0,,0,,,,Frequently
grls20LGRE11,2,2017-03,Very active,Once or twice/week,30-60 minutes,Average,0,0,1,,0,,,,Frequently
grls21DHI677,0,2014-11,Very active,More than once a day,10-30 minutes,Average,0,1,0,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Occasionally
grls21DHI677,1,2015-12,Very active,Once or twice/week,30-60 minutes,Average,0,1,0,,0,,,,Frequently
grls21DHI677,2,2017-02,Moderate,Once or twice/week,10-30 minutes,Brisk,0,1,0,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,Occasionally
grls21FVKE55,0,2014-03,Very active,Once/day,10-30 minutes,Average,0,1,1,,0,,,,Frequently
grls21FVKE55,1,2015-03,Moderate,Less than once/week,10-30 minutes,Average,0,1,1,,0,,,,Occasionally
grls21FVKE55,2,2016-04,Moderate,Once or twice/week,10-30 minutes,Average,0,1,1,,0,,,,Never
grls21MTXB44,0,2015-01,Very active,Once or twice/week,10-30 minutes,Average,0,1,0,,0,,,,Occasionally
grls21MTXB44,1,2016-01,Very active,Once or twice/week,10-30 minutes,Average,0,1,0,,0,,,,Frequently
grls21MTXB44,2,2017-02,Moderate,Once or twice/week,10-30 minutes,Average,0,1,0,,0,,,,Frequently
grls221X4400,0,2014-12,Moderate,More than once a day,10-30 minutes,Average,0,1,0,,1,10-30 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,Frequently
grls221X4400,1,2016-01,Very active,Once or twice/week,10-30 minutes,Average,0,1,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Frequently
grls221X4400,2,2017-01,Moderate,Never,,,0,0,0,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Frequently
grls238GNVWW,0,2014-09,Very active,Once/day,30-60 minutes,Brisk,0,0,1,,1,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once or twice/week,Frequently
grls238GNVWW,1,2015-12,Moderate,Once or twice/week,10-30 minutes,Brisk,0,0,1,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once or twice/week,Frequently
grls238GNVWW,2,2016-12,Very active,Once/day,10-30 minutes,Brisk,0,0,1,,1,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,Frequently
grls23BTJ6WW,0,2013-01,Very active,More than once a day,10-30 minutes,Brisk,0,1,0,,0,,,,Occasionally
grls23J9GHOO,0,2013-11,Moderate,Once or twice/week,30-60 minutes,Brisk,0,0,1,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Occasionally
grls23J9GHOO,1,2015-12,Moderate,Less than once/month,10-30 minutes,Average,1,0,1,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Occasionally
grls23J9GHOO,2,2016-12,Moderate,Once or twice/week,10-30 minutes,Brisk,0,1,1,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Occasionally
grls23SK5GWW,0,2014-03,Very active,More than once a day,Greater than 60 minutes,Average,1,1,0,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Occasionally
grls23SK5GWW,1,2015-06,Very active,More than once a day,30-60 minutes,Average,1,1,0,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Occasionally
grls23SK5GWW,2,2016-07,Very active,More than once a day,30-60 minutes,Average,1,1,0,,1,30-60 minutes,Bursts of exercise less than 30% of the time,Once/day,Occasionally
grls24NPSQCC,0,2014-09,Very active,Once/day,Less than 10 minutes,Slow,1,0,0,,1,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),More than once a day,Frequently
grls24NPSQCC,1,2016-02,Very active,More than once a day,30-60 minutes,Average,1,1,1,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Frequently
grls24NPSQCC,2,2017-03,Moderate,More than once a day,10-30 minutes,Average,1,1,0,,1,10-30 minutes,Bursts of exercise less than 30% of the time,Once or twice/week,Occasionally
grls24NY4622,0,2014-12,Very active,More than once a day,10-30 minutes,Average,1,0,1,,1,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once or twice/week,Occasionally
grls24NY4622,1,2016-02,Moderate,Once or twice/week,30-60 minutes,Average,0,0,1,,1,10-30 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,Frequently
grls24NY4622,2,2017-03,Moderate,Once or twice/week,10-30 minutes,Average,1,0,1,,1,10-30 minutes,Bursts of exercise less than 30% of the time,Once/day,Frequently
grls24RHMB77,0,2014-03,Very active,Once/day,30-60 minutes,Brisk,0,1,0,,0,,,,Frequently
grls24RHMB77,1,2015-03,Moderate,Once/day,10-30 minutes,Brisk,1,1,0,,0,,,,Frequently
grls24RHMB77,2,2016-04,Moderate,Once/day,10-30 minutes,Brisk,1,1,0,,0,,,,Frequently
grls25IJBODD,0,2014-12,Moderate,Once or twice/week,10-30 minutes,Brisk,0,1,0,,1,10-30 minutes,Engages in strenuous exercise most of the time (greater than 60%),More than once a day,Frequently
grls25IJBODD,1,2015-12,Moderate,Less than once/month,10-30 minutes,Average,1,1,1,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
grls25IJBODD,2,2017-01,Moderate,Once or twice/week,10-30 minutes,Average,0,0,1,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
grls26PDUYQQ,0,2014-06,Very active,More than once a day,30-60 minutes,Brisk,0,1,0,,0,,,,Frequently
